City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
123,flores da cunha,-29.0289,-51.1817,26.83,64,99,2.37,BR,1714148673
124,bernal,-5.45,-80.75,28.69,49,9,3.1,PE,1714148673
125,gangapur,26.4833,76.7167,30.02,35,100,5.02,IN,1714148673
126,san rafael,-34.6177,-68.3301,21.19,23,0,2.52,AR,1714148321
127,kavaratti,10.5669,72.642,29.82,73,74,3.38,IN,1714148674
128,whitehorse,60.7161,-135.0538,5.61,88,53,2.32,CA,1714147871
129,burlington,39.8835,-74.6413,17.68,38,0,3.58,US,1714148674
130,kununurra,-15.7667,128.7333,25.99,53,3,4.12,AU,1714148623
131,hotan,37.0997,79.9269,23.3,12,67,1.83,CN,1714148674
132,bontang,0.1333,117.5,27.2,88,97,5.13,ID,1714148674
133,iqaluit,63.7506,-68.5145,-11.15,62,40,7.72,CA,1714148174
134,al hilaliyya,14.9398,33.234,39.0,8,1,3.46,SD,1714148674
135,choma,-16.8065,26.9531,20.46,41,0,2.08,ZM,1714148203
136,saskatoon,52.1168,-106.6345,10.99,50,75,6.71,CA,1714148674
137,kosong,38.3788,128.4676,22.27,63,12,4.25,KR,1714148674
138,north bend,43.4065,-124.2243,11.26,93,100,7.2,US,1714148622
139,puerto cabezas,14.0351,-83.3888,31.98,74,75,6.17,NI,1714148675
140,codrington,-38.2667,141.9667,12.37,65,100,1.74,AU,1714148192
141,xai-xai,-25.0519,33.6442,22.79,82,7,3.41,MZ,1714148675
142,cannonvale,-20.2833,148.7,23.66,77,69,5.23,AU,1714148675
143,bermejo,-32.8833,-68.8,18.95,55,75,5.14,AR,1714148675
144,sipote,47.4667,27.2167,15.69,67,92,3.03,RO,1714148675
145,george town,5.4112,100.3354,28.86,86,20,1.54,MY,1714148594
146,turbat,26.0023,63.044,29.7,37,0,6.73,PK,1714148675
147,vilyuchinsk,52.9306,158.4028,6.25,99,100,0.93,RU,1714148170
148,guerrero negro,27.9769,-114.0611,17.41,58,100,8.6,MX,1714148209
149,nenjiang,49.1833,125.2167,5.69,42,98,4.4,CN,1714148676
150,kabalo,-6.05,26.9167,21.45,97,100,1.74,CD,1714148676
151,uliastay,47.7417,96.8444,-1.23,43,31,1.37,MN,1714148676
152,saint-francois,46.4154,3.9054,13.71,72,75,4.63,FR,1714148178
153,tsiombe,-25.3,45.4833,23.15,93,31,3.34,MG,1714148168
154,talnakh,69.4865,88.3972,-4.89,97,100,2.16,RU,1714148170
155,portsmouth,50.799,-1.0913,12.3,76,100,4.92,GB,1714148676
156,hermanus,-34.4187,19.2345,18.78,74,35,11.3,ZA,1714148163
157,grand-bassam,5.2118,-3.7388,31.98,69,97,3.86,CI,1714148676
158,vila velha,-20.3297,-40.2925,28.87,94,100,3.13,BR,1714148201
159,najaf,31.9985,44.3398,34.88,14,6,2.06,IQ,1714148676
160,antonio enes,-16.2325,39.9086,26.04,64,92,5.3,MZ,1714148640
161,masterton,-40.9597,175.6575,5.61,86,0,0.67,NZ,1714148617
162,conception bay south,47.4999,-52.9981,7.18,62,94,4.45,CA,1714148525
163,sao felix do xingu,-6.6447,-51.995,30.87,60,99,1.5,BR,1714148677
164,college,64.8569,-147.8028,4.97,66,75,1.54,US,1714148189
165,powell river,49.8496,-124.5361,10.18,100,100,1.54,CA,1714148677
166,macapa,0.0389,-51.0664,28.99,74,75,3.09,BR,1714148392
167,pandan,14.0453,124.1694,26.8,89,21,3.21,PH,1714148178
168,lompoc,34.6391,-120.4579,17.23,60,20,5.66,US,1714148186
169,borogontsy,62.6683,131.1683,-12.21,96,58,2.79,RU,1714148677
170,piton saint-leu,-21.2196,55.3151,24.06,83,40,1.54,RE,1714148677
171,kikwit,-5.041,18.8162,25.0,82,99,0.42,CD,1714148678
172,manggar,-2.8833,108.2667,28.21,81,98,2.04,ID,1714148678
173,touros,-5.1989,-35.4608,27.61,87,100,6.0,BR,1714148167
174,kavarna,43.4333,28.3333,16.27,84,58,2.27,BG,1714148678
175,hawaiian paradise park,19.5933,-154.9731,19.94,95,75,1.54,US,1714148192
176,petropavlovsk-kamchatsky,53.0452,158.6483,5.43,94,75,5.0,RU,1714148159
177,haiku-pauwela,20.9219,-156.3051,22.25,82,20,4.12,US,1714148181
178,auki,-8.7676,160.7034,25.71,89,100,2.01,SB,1714148632
179,severobaykal'sk,55.65,109.3167,-3.61,81,89,2.49,RU,1714148669
180,tazovsky,67.4667,78.7,-3.24,93,99,3.74,RU,1714148176
181,shimoda,34.6667,138.95,17.28,84,100,1.19,JP,1714148678
182,opuwo,-18.0607,13.84,31.33,11,5,4.17,NA,1714148584
183,muynoq,43.7683,59.0214,16.63,63,0,8.02,UZ,1714148679
184,puerto colombia,10.9878,-74.9547,27.05,69,98,2.51,CO,1714148679
185,cabo san lucas,22.8909,-109.9124,27.01,35,0,3.09,MX,1714148177
186,alofi,-19.0595,-169.9187,23.94,94,81,1.54,NU,1714148207
187,ilulissat,69.2167,-51.1,3.01,81,75,6.17,GL,1714148161
188,newman,37.3138,-121.0208,16.14,78,63,1.79,US,1714147978
189,ende,-8.8432,121.6623,23.58,90,6,1.46,ID,1714148679
190,thompson,55.7435,-97.8558,13.09,44,20,7.2,CA,1714148165
191,paramonga,-10.6667,-77.8333,22.5,77,18,3.02,PE,1714148679
192,palu,-0.8917,119.8707,24.76,100,100,0.76,ID,1714148646
193,teknaf,20.8624,92.3058,27.81,88,0,1.85,BD,1714148186
194,trincomalee,8.5711,81.2335,29.36,68,51,3.4,LK,1714148679
195,lahaina,20.8783,-156.6825,23.78,84,45,4.43,US,1714148680
196,sirsaganj,27.05,78.7,33.62,21,100,5.97,IN,1714148680
197,sogndal,61.2283,7.1003,9.21,39,20,1.54,NO,1714148680
198,empalme,27.9667,-110.8167,25.51,68,0,3.6,MX,1714148680
199,tamanrasset,22.785,5.5228,33.95,7,0,6.69,DZ,1714148596
200,santa isabel,-23.3156,-46.2214,26.84,62,50,1.79,BR,1714148680
