City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
123,papatowai,-46.5619,169.4708,11.23,90,100,5.43,NZ,1714188815
124,puerto colombia,10.9878,-74.9547,27.05,88,99,4.93,CO,1714188815
125,fale old settlement,-9.3852,-171.2468,29.82,72,100,5.56,TK,1714188815
126,arraias,-12.9288,-46.9437,21.45,49,4,1.81,BR,1714188815
127,pechora,65.1472,57.2244,3.25,93,100,4.02,RU,1714188815
128,aykhal,66.0,111.5,-6.28,82,100,5.79,RU,1714188711
129,carnarvon,-24.8667,113.6333,28.99,46,11,2.53,AU,1714188816
130,gizo,-8.103,156.8419,29.68,72,99,1.56,SB,1714188816
131,mbanza-ngungu,-5.25,14.8667,19.53,94,60,1.01,CD,1714188816
132,kapuskasing,49.4169,-82.4331,10.0,32,20,5.66,CA,1714188703
133,bokhan,53.153,103.7714,6.51,49,98,4.5,RU,1714188816
134,st. john's,47.5649,-52.7093,-0.02,84,75,3.6,CA,1714188543
135,nyurba,63.2842,118.3319,-2.05,83,96,3.12,RU,1714188816
136,sosnovo-ozerskoye,52.5249,111.5418,5.31,27,49,5.99,RU,1714188816
137,antsiranana,-12.2787,49.2917,25.42,78,40,3.09,MG,1714188816
138,lukolela,-1.0605,17.1821,20.95,96,88,1.07,CD,1714188817
139,shushtar,32.0455,48.8567,28.98,27,1,3.3,IR,1714188817
140,progreso,21.2833,-89.6667,30.06,60,77,6.32,MX,1714188817
141,san julian,21.0167,-102.1667,17.59,20,31,3.48,MX,1714188817
142,fort bragg,35.139,-79.006,17.91,75,75,3.09,US,1714188817
143,puerto baquerizo moreno,-0.9,-89.6,24.96,87,71,4.05,EC,1714188733
144,aasiaat,68.7098,-52.8699,-4.52,99,63,0.7,GL,1714188817
145,ancud,-41.8697,-73.8203,7.23,78,59,3.53,CL,1714188596
146,susuman,62.7833,148.1667,-1.68,95,100,1.79,RU,1714188572
147,kununurra,-15.7667,128.7333,31.99,31,72,6.17,AU,1714188818
148,bagneres-de-bigorre,43.0667,0.15,6.66,93,0,2.06,FR,1714188818
149,kiselevsk,53.99,86.6621,6.54,60,13,2.14,RU,1714188818
150,sebezh,56.2955,28.4654,5.56,81,0,0.82,RU,1714188818
151,nadi,-17.8,177.4167,31.0,62,40,5.14,FJ,1714188818
152,midvagur,62.0511,-7.1939,3.46,87,100,2.57,FO,1714188818
153,princeville,45.7668,-61.2985,-0.38,79,0,1.03,CA,1714188818
154,borogontsy,62.6683,131.1683,-3.41,68,100,5.09,RU,1714188819
155,port alfred,-33.5906,26.891,17.88,83,59,0.45,ZA,1714188819
156,danjiangkou,32.5428,111.5086,28.18,45,35,4.24,CN,1714188819
157,alofi,-19.0595,-169.9187,28.94,74,40,5.14,NU,1714188819
158,mount gambier,-37.8333,140.7667,16.42,44,99,1.0,AU,1714188819
